Date,Temp,Humidity
03.04.2020,10.71,67.04
04.04.2020,12.29,55.5
05.04.2020,15.01,42.79
06.04.2020,12.67,65.79
07.04.2020,16.65,64.38
08.04.2020,18.11,47.21
09.04.2020,18.75,45.54
10.04.2020,19.12,44.29
11.04.2020,19.11,45.38
12.04.2020,18.6,45.92
13.04.2020,13.84,57.71
14.04.2020,8.97,48.83
15.04.2020,12.73,40.88
16.04.2020,16.76,53.79
17.04.2020,18.9,58.04
18.04.2020,18.35,61.75
19.04.2020,15.98,69.5
20.04.2020,16.17,57.71
21.04.2020,16.07,43.83
22.04.2020,17.68,40.58
23.04.2020,19.21,41.75
24.04.2020,19.27,47.58
25.04.2020,16.71,46.04
26.04.2020,14.99,47.08
27.04.2020,16.43,61.12
28.04.2020,15.0,75.62
29.04.2020,12.4,82.96
30.04.2020,11.09,81.54
01.05.2020,12.55,70.88
02.05.2020,12.75,58.62
03.05.2020,14.7,70.67
04.05.2020,15.77,73.83
05.05.2020,13.2,68.38
06.05.2020,16.73,46.25
07.05.2020,16.93,42.25
08.05.2020,18.6,48.33
09.05.2020,18.98,75.79
10.05.2020,17.22,88.0
11.05.2020,10.31,64.08
12.05.2020,10.3,51.67
13.05.2020,11.64,52.0
14.05.2020,10.99,52.04
15.05.2020,12.62,50.08
16.05.2020,14.47,50.29
17.05.2020,15.55,50.5
18.05.2020,17.52,51.41
19.05.2020,18.42,49.0
20.05.2020,21.34,55.75
21.05.2020,23.63,54.0
22.05.2020,20.75,64.71
23.05.2020,16.5,57.38
24.05.2020,15.61,60.96
25.05.2020,18.46,57.38
26.05.2020,20.6,48.33
27.05.2020,21.11,47.17
28.05.2020,19.36,47.71
29.05.2020,20.04,35.92
30.05.2020,20.58,39.75
31.05.2020,20.0,39.12
01.06.2020,21.6,42.21
02.06.2020,23.99,43.08
03.06.2020,21.5,53.62
04.06.2020,13.99,82.04
05.06.2020,13.68,72.71
06.06.2020,14.54,59.42
07.06.2020,14.55,62.75
08.06.2020,14.86,68.46
09.06.2020,14.68,64.5
10.06.2020,15.39,61.33
11.06.2020,17.31,69.33
12.06.2020,16.64,81.5
13.06.2020,18.49,66.42
14.06.2020,17.81,70.0
15.06.2020,17.93,73.46
16.06.2020,18.22,72.71
17.06.2020,17.67,69.62
18.06.2020,17.68,68.33
19.06.2020,17.26,70.67
20.06.2020,20.12,57.92
21.06.2020,18.06,73.54
22.06.2020,18.85,61.12
23.06.2020,23.44,48.08
24.06.2020,26.52,42.71
25.06.2020,27.84,42.33
26.06.2020,25.72,58.04
27.06.2020,20.88,70.79
28.06.2020,19.43,57.79
29.06.2020,18.57,52.71
30.06.2020,19.42,62.21
01.07.2020,20.65,74.46
02.07.2020,18.53,62.75
03.07.2020,18.37,59.62
04.07.2020,19.44,66.25
05.07.2020,20.87,74.96
06.07.2020,17.09,55.83
07.07.2020,18.92,52.17
08.07.2020,21.51,57.33
09.07.2020,24.4,55.54
10.07.2020,19.57,60.79
11.07.2020,18.61,50.04
12.07.2020,19.74,49.29
13.07.2020,21.21,44.29
14.07.2020,19.59,55.54
15.07.2020,19.05,64.25
16.07.2020,18.31,71.29
17.07.2020,21.07,60.17
18.07.2020,22.4,57.12
19.07.2020,23.47,49.25
20.07.2020,21.05,58.08
21.07.2020,20.45,44.0
22.07.2020,20.15,45.21
23.07.2020,22.16,40.92
24.07.2020,21.17,55.38
25.07.2020,21.86,60.33
26.07.2020,20.82,63.0
27.07.2020,24.24,47.08
28.07.2020,20.94,54.71
29.07.2020,20.52,50.33
30.07.2020,24.55,41.5
31.07.2020,28.66,37.96
01.08.2020,23.88,62.25
02.08.2020,20.49,54.71
03.08.2020,18.55,57.67
04.08.2020,20.06,51.67
05.08.2020,23.52,37.88
06.08.2020,26.59,36.46
07.08.2020,29.25,35.58
08.08.2020,30.27,37.5
09.08.2020,31.08,39.08
10.08.2020,28.66,46.21
11.08.2020,27.75,54.33
12.08.2020,27.15,60.71
13.08.2020,23.17,76.38
14.08.2020,21.64,80.33
15.08.2020,22.78,69.88
16.08.2020,21.84,73.79
17.08.2020,20.03,75.12
18.08.2020,21.36,63.25
19.08.2020,21.6,75.88
20.08.2020,25.51,64.25
21.08.2020,24.51,56.38
22.08.2020,21.28,58.92
23.08.2020,19.08,61.58
24.08.2020,18.3,62.92
25.08.2020,21.6,61.05
26.08.2020,19.84,59.17
27.08.2020,19.93,63.88
28.08.2020,17.51,72.54
29.08.2020,15.11,79.08
30.08.2020,16.37,78.83
31.08.2020,16.48,63.5
